,equity,ret,turnover,long_n,short_n
2023-11-15 00:00:00+00:00,802995.641871108,0.0011831192845459526,0.0,0,0
2023-11-16 00:00:00+00:00,808894.8935032418,0.007346554980532272,0.0,0,0
2023-11-17 00:00:00+00:00,800752.8082893919,-0.010065689966946567,0.0,0,0
2023-11-20 00:00:00+00:00,807155.952116008,0.007996405083230185,0.0,0,0
2023-11-21 00:00:00+00:00,809591.8847529531,0.003017920676368746,0.0,0,0
2023-11-22 00:00:00+00:00,791734.3167500356,-0.02205749383019906,0.0,0,0
2023-11-24 00:00:00+00:00,784014.9096553045,-0.009749996850481724,0.0,0,0
2023-11-27 00:00:00+00:00,785193.7641244658,0.0015036123097194043,0.0,0,0
2023-11-28 00:00:00+00:00,783627.9065844832,-0.0019942307383561397,0.0,0,0
2023-11-29 00:00:00+00:00,788133.6322611618,0.00574982799721524,0.0,0,0
2023-11-30 00:00:00+00:00,774725.7855555976,-0.017012148900557578,2.0,1,1
2023-12-01 00:00:00+00:00,769336.2599428312,-0.006956688047889403,0.0,0,0
2023-12-04 00:00:00+00:00,767292.5689375894,-0.0026564340089646477,0.0,0,0
2023-12-05 00:00:00+00:00,757137.7964174655,-0.013234550849598903,0.0,0,0
2023-12-06 00:00:00+00:00,758291.675583338,0.0015240015375435068,0.0,0,0
2023-12-07 00:00:00+00:00,765363.7254198615,0.009326292328190267,0.0,0,0
2023-12-08 00:00:00+00:00,769745.1286370028,0.005724602658347511,0.0,0,0
2023-12-11 00:00:00+00:00,766080.3736681936,-0.004760997936159028,0.0,0,0
2023-12-12 00:00:00+00:00,773574.1486063976,0.00978196961543576,0.0,0,0
2023-12-13 00:00:00+00:00,767719.8831413685,-0.0075678142497077605,0.0,0,0
2023-12-14 00:00:00+00:00,765628.6386856188,-0.0027239680795979604,0.0,0,0
2023-12-15 00:00:00+00:00,768682.8584879012,0.0039891660890920555,0.0,0,0
2023-12-18 00:00:00+00:00,783082.3851994517,0.018732727746624045,0.0,0,0
2023-12-19 00:00:00+00:00,787505.185890647,0.005647937911499312,0.0,0,0
2023-12-20 00:00:00+00:00,790510.0612985895,0.0038156896764356407,0.0,0,0
2023-12-21 00:00:00+00:00,796257.4996423725,0.007270544203247242,0.0,0,0
2023-12-22 00:00:00+00:00,797679.0847143134,0.001785333353317764,0.0,0,0
2023-12-26 00:00:00+00:00,800437.3502179128,0.0034578636402222696,0.0,0,0
2023-12-27 00:00:00+00:00,803613.7867730423,0.003968376231149984,0.0,0,0
2023-12-28 00:00:00+00:00,803269.4850003058,-0.00042844184408408204,0.0,0,0
2023-12-29 00:00:00+00:00,800560.9484324302,-0.0033718902789823257,0.0,0,0
2024-01-02 00:00:00+00:00,806211.9142318085,0.00705875775035425,0.0,0,0
2024-01-03 00:00:00+00:00,807111.6063760367,0.0011159499485757784,0.0,0,0
2024-01-04 00:00:00+00:00,815341.3655945332,0.0101965566515001,0.0,0,0
2024-01-05 00:00:00+00:00,822649.8694797734,0.00896373493807845,0.0,0,0
2024-01-08 00:00:00+00:00,820548.1448325065,-0.002554822805230561,0.0,0,0
2024-01-09 00:00:00+00:00,820069.7599577659,-0.0005830064667786683,0.0,0,0
2024-01-10 00:00:00+00:00,832703.4611428101,0.015405642058664348,0.0,0,0
2024-01-11 00:00:00+00:00,833146.0828020456,0.0005315477596647966,0.0,0,0
2024-01-12 00:00:00+00:00,837836.9214697938,0.005630271526899433,0.0,0,0
2024-01-16 00:00:00+00:00,835132.7729750064,-0.0032275356044748627,0.0,0,0
2024-01-17 00:00:00+00:00,838327.1168423954,0.0038249533137224567,0.0,0,0
2024-01-18 00:00:00+00:00,833504.7075771989,-0.005752419512994433,0.0,0,0
2024-01-19 00:00:00+00:00,835141.8368149447,0.001964151159391303,0.0,0,0
2024-01-22 00:00:00+00:00,828244.1969777351,-0.008259243559771479,0.0,0,0
2024-01-23 00:00:00+00:00,829198.6579951743,0.0011523908298083363,0.0,0,0
2024-01-24 00:00:00+00:00,836562.8792838643,0.00888113025471493,0.0,0,0
2024-01-25 00:00:00+00:00,839927.635305061,0.004022119681041936,0.0,0,0
2024-01-26 00:00:00+00:00,844738.0481115758,0.005727175299771625,0.0,0,0
2024-01-29 00:00:00+00:00,853625.3817779898,0.010520816111316167,0.0,0,0
2024-01-30 00:00:00+00:00,860817.9946133682,0.008425959430115704,0.0,0,0
2024-01-31 00:00:00+00:00,856993.6385205217,-0.00444269998626623,1.0,1,1
2024-02-01 00:00:00+00:00,861723.8049235585,0.005519488349065016,0.0,0,0
2024-02-02 00:00:00+00:00,885470.3153488088,0.02755698553245467,0.0,0,0
2024-02-05 00:00:00+00:00,902337.5184052364,0.019048863371307068,0.0,0,0
2024-02-06 00:00:00+00:00,891226.4890620591,-0.012313606734223548,0.0,0,0
2024-02-07 00:00:00+00:00,903221.047227359,0.013458484809987237,0.0,0,0
2024-02-08 00:00:00+00:00,902869.2856491535,-0.00038945237080700856,0.0,0,0
2024-02-09 00:00:00+00:00,917752.7065236581,0.016484579895531093,0.0,0,0
2024-02-12 00:00:00+00:00,922615.0202740029,0.005298065280311404,0.0,0,0
2024-02-13 00:00:00+00:00,927049.7692114178,0.004806716604394579,0.0,0,0
2024-02-14 00:00:00+00:00,940666.8354784013,0.014688603265137212,0.0,0,0
2024-02-15 00:00:00+00:00,933502.8616683484,-0.0076158460571318365,0.0,0,0
2024-02-16 00:00:00+00:00,937148.6512610246,0.0039054937508820053,0.0,0,0
2024-02-20 00:00:00+00:00,918678.2582698569,-0.019709138957105687,0.0,0,0
